attribute,p_value,no_transition_mean,transition_mean
mPACCtrailsB_bl,3.6054795773030817e-16,0.5778259981502767,0.39613841221967033
mPACCdigit_bl,1.5974983039560676e-14,0.5923155586578822,0.41911415356604387
RAVLT_immediate_bl,8.292616454015638e-13,0.4366902523322283,0.28860613070000013
ADAS13_bl,3.2936533166086454e-12,0.41564859576427254,0.5737087912087913
ADAS11_bl,3.379066543788202e-11,0.38523271387644553,0.5289610389549451
ADASQ4_bl,6.885778198528736e-11,0.5176795580110495,0.7021978021978021
FAQ_bl,8.795500348483632e-10,0.2815409697668502,0.47897078151428557
RAVLT_perc_forgetting_bl,4.7427934635017045e-08,0.6441605556823208,0.8099563274824175
MMSE_bl,1.2543711142261946e-07,0.6948171533725573,0.5447409733054946
Hippocampus_bl,1.5653943547928085e-07,0.5177498394969606,0.4071158485506593
TRABSCOR_bl,3.880691312803406e-07,0.46992682555856385,0.5919141462076922
RAVLT_learning_bl,3.942140230489144e-07,0.4521178637210869,0.3461538461493407
ABETA_bl,4.1332899666544716e-07,0.5075750063984714,0.3506043820678021
CDRSB_bl,1.400708645211548e-06,0.28358742744585547,0.40512978739340666
APOE4,7.206647044534701e-06,0.2882136279926335,0.46153846153846156
PTAU_bl,1.0374908201352503e-05,0.42032974100762494,0.5124695641769228
MidTemp_bl,2.01406242506951e-05,0.47235903914718236,0.3949353934115714
TAU_bl,3.730497545873506e-05,0.42845611639994524,0.5127533138797801
Fusiform_bl,7.35822007742909e-05,0.4668227506751567,0.3917196071728572
Entorhinal_bl,9.269533016111165e-05,0.4727350975880477,0.3960623751512089
Ventricles_bl,0.0007691282236936674,0.5413829275040699,0.6068427035104393
FDG_bl,0.004767051468036993,0.46954331145305717,0.41320892527769243
WholeBrain_bl,0.018819764657486773,0.4069037701933333,0.364037065882824
AGE,0.032979324504544986,0.47975735130186375,0.5293744716845056
